iter	Passed	Remaining
0	15	10074
1	31	10419
2	46	10287
3	66	11030
4	83	11038
5	100	11102
6	118	11143
7	138	11389
8	157	11545
9	177	11652
10	201	12011
11	219	11994
12	242	12174
13	260	12146
14	278	12099
15	292	11900
16	312	11957
17	332	11972
18	348	11896
19	367	11891
20	388	11937
21	405	11900
22	426	11943
23	443	11886
24	453	11644
25	468	11545
26	488	11575
27	506	11555
28	524	11529
29	542	11528
30	566	11631
31	590	11714
32	610	11719
33	626	11670
34	648	11704
35	670	11746
36	688	11723
37	706	11692
38	725	11687
39	744	11663
40	763	11655
41	785	11689
42	802	11646
43	819	11600
44	839	11605
45	859	11600
46	881	11624
47	900	11617
48	920	11615
49	941	11613
50	964	11646
51	983	11631
52	1003	11623
53	1025	11640
54	1042	11595
55	1064	11618
56	1084	11603
57	1102	11579
58	1122	11568
59	1144	11574
60	1162	11547
61	1184	11554
62	1204	11551
63	1226	11556
64	1244	11529
65	1268	11549
66	1291	11566
67	1308	11525
68	1325	11485
69	1342	11450
70	1363	11449
71	1384	11444
72	1392	11328
73	1414	11332
74	1431	11302
75	1449	11270
76	1470	11264
77	1488	11240
78	1508	11226
79	1524	11187
80	1543	11167
81	1564	11157
82	1583	11139
83	1605	11140
84	1625	11127
85	1643	11103
86	1655	11039
87	1675	11025
88	1700	11044
89	1722	11044
90	1744	11039
91	1765	11033
92	1782	11001
93	1801	10980
94	1824	10985
95	1844	10968
96	1864	10958
97	1884	10942
98	1904	10927
99	1924	10911
100	1946	10907
101	1968	10906
102	1988	10887
103	2008	10873
104	2032	10880
105	2052	10863
106	2064	10805
107	2084	10787
108	2104	10775
109	2123	10750
110	2131	10676
111	2152	10665
112	2175	10663
113	2195	10650
114	2214	10630
115	2237	10626
116	2258	10615
117	2278	10600
118	2298	10585
119	2316	10559
120	2333	10530
121	2341	10461
122	2352	10403
123	2394	10484
124	2413	10465
125	2431	10441
126	2443	10390
127	2463	10374
128	2480	10345
129	2500	10328
130	2517	10301
131	2536	10279
132	2554	10255
133	2573	10235
134	2593	10221
135	2613	10205
136	2632	10184
137	2652	10166
138	2673	10153
139	2693	10139
140	2715	10128
141	2733	10105
142	2760	10116
143	2782	10107
144	2803	10091
145	2821	10069
146	2839	10043
147	2853	10007
148	2875	9995
149	2894	9974
150	2916	9965
151	2923	9905
152	2943	9888
153	2963	9873
154	2984	9857
155	3003	9838
156	3022	9819
157	3043	9804
158	3063	9786
159	3082	9767
160	3100	9744
161	3122	9732
162	3140	9711
