iter	Logloss
0	0.6683024514
1	0.6452215178
2	0.6212073872
3	0.60639545
4	0.5874535902
5	0.5719581179
6	0.5566895646
7	0.5426293446
8	0.5332451466
9	0.5185885775
10	0.5109229763
11	0.5045233961
12	0.4951952243
13	0.4874325652
14	0.4808330256
15	0.4771643363
16	0.4732263284
17	0.4676345748
18	0.464237256
19	0.4589412922
20	0.4558563692
21	0.4521817678
22	0.4498081361
23	0.4468951205
24	0.4440050105
25	0.4418569237
26	0.4388996866
27	0.4372280786
28	0.4351552937
29	0.4321096145
30	0.430112386
31	0.4274779394
32	0.4261603995
33	0.4246296128
34	0.4229515337
35	0.4213963835
36	0.4198880466
37	0.4184754223
38	0.4172064317
39	0.4160360238
40	0.4152979445
41	0.4134116831
42	0.4121684452
43	0.4108467884
44	0.4098608117
45	0.4083915134
46	0.4070050532
47	0.4062045532
48	0.4051363973
49	0.4041722204
50	0.4031402813
51	0.4022740985
52	0.4015359566
53	0.4009290791
54	0.400261783
55	0.399425177
56	0.398452595
57	0.3974918096
58	0.3967469354
59	0.3958552306
60	0.3951520282
61	0.3944881493
62	0.3936267383
63	0.3926942309
64	0.3916884245
65	0.3909817597
66	0.3902954904
67	0.389425848
68	0.3886203686
69	0.3882189326
70	0.387689156
71	0.3873441698
72	0.3867188486
73	0.3861872924
74	0.3856231216
75	0.3851786918
76	0.3843990714
77	0.3840177147
78	0.3835032573
79	0.3828975232
80	0.3821759234
81	0.3817054456
82	0.3812575687
83	0.3805096102
84	0.3797459826
85	0.3791566155
86	0.3786734901
87	0.3781748058
88	0.3778900028
89	0.3763943593
90	0.3758186421
91	0.3753121179
92	0.3749698719
93	0.3745935032
94	0.3742579342
95	0.3739077158
96	0.3735126593
97	0.3732899002
98	0.3725609323
99	0.372054602
100	0.3717988633
101	0.371409888
102	0.370971789
103	0.3703213375
104	0.3700029616
105	0.3696027748
106	0.3691424964
107	0.3687075497
108	0.3672686153
109	0.3669582098
110	0.3664475683
111	0.3657958805
112	0.3654418297
113	0.3649936771
114	0.3646412608
115	0.3642725756
116	0.3638257893
117	0.3631170663
118	0.3627300502
119	0.362347979
120	0.3619481925
121	0.3615380183
122	0.3609528671
123	0.3604325827
124	0.3600681027
125	0.3597426044
126	0.3595122795
127	0.35919811
128	0.3584397988
129	0.35810923
130	0.3576809235
131	0.3574019281
132	0.3572769815
133	0.35692738
134	0.3564357969
135	0.3561421002
136	0.3556987883
137	0.3550981205
138	0.3546723
139	0.3541393292
140	0.3537925037
141	0.3532213913
142	0.3528387986
143	0.352562292
144	0.3520701586
145	0.3517608612
146	0.351323651
147	0.350784988
148	0.3505457121
149	0.3500088669
150	0.3495536272
151	0.3492301984
152	0.3485164569
153	0.3481199255
154	0.3476737174
155	0.3472335749
156	0.3470527134
157	0.3464408071
158	0.3458306867
159	0.3454162568
160	0.3451804032
161	0.3440776612
162	0.3435181206
163	0.3428703325
164	0.341970431
165	0.3412725202
166	0.3406974717
167	0.3400586719
168	0.339607119
169	0.3389202185
170	0.3381870074
171	0.3377306248
172	0.3369978636
173	0.3364518915
174	0.3360154057
175	0.3355012723
176	0.3348284907
177	0.334168298
178	0.333027068
179	0.3323166447
180	0.3317114085
181	0.3306220594
182	0.3298317497
183	0.3293462522
184	0.3285883227
185	0.3281865344
186	0.327684871
187	0.3270558373
188	0.3258206356
189	0.3250240002
190	0.3243939169
191	0.3236490064
192	0.3228275679
193	0.3223768663
194	0.3217563764
195	0.3209743225
196	0.3202019854
197	0.3193537527
198	0.3187256498
199	0.3180402385
200	0.3175792156
201	0.3170403757
202	0.3164435782
203	0.315968278
204	0.3154752223
205	0.3146455485
206	0.313943243
207	0.3132624804
208	0.3126684199
209	0.311848452
210	0.3112493876
211	0.3103943292
212	0.3100073311
213	0.3094856812
214	0.3090480269
215	0.3083333057
216	0.3077793086
217	0.3072803194
218	0.3065968593
219	0.3060429535
220	0.3054346237
221	0.3049387584
222	0.3044758207
223	0.3040206521
224	0.3034052772
225	0.3027178094
226	0.3019790895
227	0.3013876267
228	0.300485559
229	0.2999362542
230	0.2991694966
231	0.2986453219
232	0.2981656765
233	0.297486588
234	0.2968217432
235	0.2963544533
236	0.2958622563
237	0.2953890875
238	0.294920507
239	0.2940932507
240	0.2934475224
241	0.2928393295
242	0.2920947815
243	0.2915575724
244	0.2908393566
245	0.2901352455
246	0.2897162215
247	0.2890255206
248	0.2883825402
249	0.2877653579
250	0.2872863324
251	0.2863664714
252	0.2857711873
253	0.2849726108
254	0.2844011853
255	0.2839868136
256	0.2832459841
257	0.2827081289
258	0.2822101211
259	0.2817262752
260	0.2812465035
261	0.2807231623
262	0.280175983
263	0.2795696988
264	0.2790491792
265	0.2784660507
266	0.2778164582
267	0.2772550616
268	0.2768630729
269	0.2764359025
270	0.2760391812
271	0.2753771006
272	0.2750288238
273	0.2744650526
274	0.2741312574
275	0.2733878478
276	0.2730294852
277	0.2725546763
278	0.2719467868
279	0.2715105533
280	0.2709339127
281	0.2705015586
282	0.2698504172
283	0.2692274982
284	0.2686953986
285	0.2681410487
286	0.2676102917
287	0.2670069361
288	0.2666357511
289	0.2662717087
290	0.2658500024
291	0.2653012648
292	0.2648101207
293	0.264221021
294	0.264013176
295	0.2634973034
296	0.2629346685
297	0.2622238049
298	0.2617626268
299	0.2613485609
300	0.2609010066
301	0.2606282744
302	0.2603283587
303	0.2599570188
304	0.2594528487
305	0.2591509491
306	0.2586877232
307	0.2582689001
308	0.2579637235
309	0.2574888514
310	0.257215951
311	0.2567680121
312	0.256361358
313	0.2557558308
314	0.2553796492
315	0.2551088035
316	0.2546246558
317	0.254210511
318	0.2537771635
319	0.2534682157
320	0.2529094567
321	0.2525798729
322	0.2521350075
323	0.251652323
324	0.2514499155
325	0.2509951673
326	0.2507512639
327	0.2504868672
328	0.2501326864
329	0.249809703
330	0.2493873071
331	0.2489487411
332	0.2484205705
333	0.2480920084
334	0.2474738528
335	0.247045707
336	0.2467385839
337	0.2463358178
338	0.2459441423
339	0.245601295
340	0.2450505965
341	0.244535506
342	0.2440653787
343	0.2439095714
344	0.2434200703
345	0.2429823346
346	0.242678343
347	0.2422450794
348	0.2418573562
349	0.2414333418
350	0.2411755716
351	0.240772628
352	0.2405478618
353	0.2402204202
354	0.2399268105
355	0.2394688491
356	0.2389054491
357	0.2384855425
358	0.2382385406
359	0.2379625723
360	0.2376107822
361	0.2372176049
362	0.237005659
363	0.2364782997
364	0.236150869
365	0.2355732767
366	0.2351283518
367	0.2347230621
368	0.2340890898
369	0.2336309702
370	0.2332059155
371	0.2330125742
372	0.2327720201
373	0.2323694076
374	0.2320909047
375	0.2318792092
376	0.2315441237
377	0.2312406008
378	0.2309297638
379	0.2306227721
380	0.2303291671
381	0.2298108288
382	0.2292947368
383	0.2290174978
384	0.2286723476
385	0.2282749026
386	0.2278327997
387	0.2276808585
388	0.2272797305
389	0.2269578551
390	0.2266705656
391	0.2261693805
392	0.2258742595
393	0.2255464005
394	0.225406572
395	0.2250421159
396	0.2249217346
397	0.2246286627
398	0.224303009
399	0.2239896714
400	0.2236171462
401	0.2233339517
402	0.2229541691
403	0.2225711949
404	0.2223141447
405	0.2220644832
406	0.2218025303
407	0.2214821533
408	0.221029126
409	0.2205572351
410	0.2202606167
411	0.2196991883
412	0.2193229744
413	0.2188959123
414	0.2184592958
415	0.2178825907
416	0.2175067824
417	0.2173249416
418	0.2169772894
419	0.2167776199
420	0.2163591868
421	0.216177329
422	0.2158877678
423	0.2154914425
424	0.2150526751
425	0.2147483924
426	0.214447638
427	0.21422895
428	0.2139364848
429	0.2137314827
430	0.2134048049
431	0.2130327358
432	0.2127303735
433	0.2123531295
434	0.21221086
435	0.2119232948
436	0.2116872911
437	0.2113782228
438	0.2110363973
439	0.210676365
440	0.2103864236
441	0.2100214337
442	0.2096881262
443	0.2094057744
444	0.2091050484
445	0.2087967325
446	0.2084989254
447	0.2083222372
448	0.2079162042
449	0.2075818927
450	0.2072317001
451	0.2067678854
452	0.2064422246
453	0.2062342743
454	0.2061363211
455	0.2057744059
456	0.205493794
457	0.2052500666
458	0.2050770869
459	0.20460272
460	0.2043527088
461	0.2039966599
462	0.2037091979
463	0.2033502401
464	0.2031617963
465	0.2029035607
466	0.202656537
467	0.2024199991
468	0.2021936838
469	0.2020696792
470	0.2017699898
471	0.2013871108
472	0.2011631348
473	0.2008127827
474	0.2004148946
475	0.200109244
476	0.1998269055
477	0.1995707398
478	0.199296041
