iter	Passed	Remaining
0	22	10141
1	42	9718
2	60	9288
3	83	9494
4	103	9402
5	124	9442
6	144	9401
7	168	9538
8	186	9375
9	208	9411
10	226	9253
11	247	9246
12	268	9259
13	292	9335
14	314	9345
15	332	9241
16	354	9260
17	380	9361
18	401	9337
19	423	9339
20	447	9373
21	470	9395
22	495	9436
23	518	9444
24	540	9420
25	559	9367
26	581	9348
27	606	9380
28	627	9344
29	650	9344
30	673	9336
31	697	9351
32	719	9330
33	744	9343
34	769	9366
35	791	9339
36	811	9297
37	833	9274
38	854	9248
39	877	9233
40	897	9193
41	921	9197
42	942	9161
43	961	9108
44	989	9145
45	1009	9109
46	1030	9076
47	1051	9051
48	1072	9021
49	1095	9007
50	1122	9024
51	1153	9071
52	1179	9079
53	1201	9056
54	1218	8996
55	1242	8988
56	1265	8971
57	1287	8945
58	1310	8929
59	1333	8910
60	1356	8892
61	1381	8891
62	1400	8845
63	1421	8817
64	1439	8769
65	1463	8759
66	1487	8748
67	1509	8724
68	1531	8698
69	1552	8672
70	1573	8641
71	1594	8613
72	1613	8577
73	1634	8549
74	1666	8574
75	1698	8605
76	1723	8596
77	1748	8583
78	1771	8567
79	1799	8569
80	1820	8540
81	1847	8538
82	1873	8531
83	1894	8503
84	1920	8496
85	1946	8485
86	1969	8465
87	1994	8454
88	2013	8415
89	2037	8400
90	2064	8393
91	2090	8385
92	2115	8372
93	2137	8343
94	2158	8317
95	2178	8283
96	2195	8239
97	2215	8206
98	2233	8166
99	2256	8147
100	2275	8109
101	2291	8065
102	2311	8035
103	2329	7995
104	2351	7973
105	2371	7941
106	2389	7906
107	2406	7866
108	2423	7826
109	2444	7799
110	2459	7754
111	2477	7719
112	2494	7681
113	2508	7636
114	2527	7603
115	2545	7571
116	2569	7554
117	2596	7547
118	2623	7539
119	2646	7520
120	2668	7498
121	2687	7467
122	2711	7450
123	2733	7428
124	2751	7394
125	2771	7369
126	2789	7334
127	2810	7310
128	2827	7275
129	2841	7235
130	2862	7211
131	2881	7181
132	2902	7157
133	2926	7140
134	2946	7116
135	2965	7086
136	2985	7059
137	3005	7035
138	3023	7003
139	3047	6987
140	3073	6975
141	3092	6947
142	3113	6923
143	3130	6891
144	3149	6863
145	3163	6825
146	3182	6798
147	3203	6774
148	3221	6745
149	3238	6715
150	3256	6684
151	3273	6653
152	3292	6628
153	3311	6601
154	3329	6573
155	3347	6545
156	3363	6512
157	3383	6489
158	3401	6459
159	3421	6437
160	3439	6409
161	3455	6377
