iter	Passed	Remaining
0	5	3737
1	8	2858
2	11	2612
3	15	2562
4	19	2521
5	23	2557
6	26	2468
7	29	2402
8	33	2389
9	37	2404
10	40	2374
11	43	2316
12	45	2262
13	48	2217
14	51	2207
15	54	2186
16	57	2151
17	60	2132
18	62	2098
19	64	2065
20	68	2061
21	71	2051
22	74	2043
23	76	2023
24	79	2004
25	81	1989
26	84	1975
27	87	1970
28	90	1957
29	93	1947
30	95	1935
31	98	1923
32	101	1911
33	104	1910
34	107	1908
35	110	1900
36	113	1900
37	116	1889
38	118	1878
39	121	1871
40	124	1865
41	126	1857
42	129	1851
43	132	1844
44	135	1836
45	137	1831
46	140	1827
47	143	1824
48	146	1819
49	149	1813
50	151	1804
51	154	1798
52	157	1793
53	159	1785
54	162	1779
55	165	1771
56	167	1765
57	170	1759
58	173	1758
59	175	1750
60	178	1745
61	181	1745
62	184	1739
63	187	1733
64	190	1732
65	193	1729
66	195	1723
67	198	1720
68	201	1717
69	204	1711
70	207	1712
71	210	1713
72	214	1715
73	217	1711
74	220	1709
75	223	1708
76	225	1701
77	228	1697
78	231	1694
79	234	1693
80	237	1687
81	239	1682
82	242	1676
83	245	1671
84	247	1664
85	250	1662
86	253	1657
87	255	1652
88	257	1646
89	261	1647
90	264	1643
91	266	1638
92	269	1633
93	272	1631
94	274	1625
95	277	1619
96	279	1615
97	282	1610
98	285	1606
99	288	1604
100	290	1601
101	293	1597
102	296	1593
103	298	1587
104	301	1584
105	304	1581
106	306	1577
107	309	1573
108	312	1571
109	314	1565
110	317	1560
111	320	1559
112	323	1555
113	326	1552
114	328	1547
115	331	1544
116	334	1541
117	336	1537
118	339	1532
119	342	1533
120	345	1529
121	348	1526
122	350	1522
123	353	1518
124	356	1516
125	358	1511
126	361	1508
127	364	1504
128	366	1499
129	369	1497
130	372	1494
131	374	1490
132	377	1487
133	380	1483
134	382	1480
135	385	1476
136	388	1474
137	391	1470
138	393	1467
139	398	1472
140	400	1466
141	403	1462
142	405	1458
143	408	1455
144	411	1451
145	413	1448
146	416	1445
147	419	1441
148	421	1438
149	424	1434
150	427	1431
151	429	1428
152	433	1426
153	436	1424
154	439	1422
155	441	1419
156	444	1417
157	447	1413
158	450	1410
159	453	1407
160	456	1405
161	459	1404
162	462	1401
163	465	1398
164	468	1396
165	471	1395
166	474	1392
167	476	1388
168	479	1385
169	482	1383
170	486	1381
171	489	1379
172	492	1377
173	495	1374
174	498	1372
175	501	1369
176	503	1366
177	506	1364
178	509	1361
179	513	1360
180	516	1358
181	520	1357
182	523	1356
183	526	1354
184	529	1352
185	533	1350
186	536	1348
187	539	1346
188	543	1346
189	546	1343
190	549	1340
191	552	1337
192	555	1334
193	557	1331
194	560	1329
195	563	1326
196	566	1322
197	569	1319
198	572	1317
199	575	1314
200	577	1311
201	580	1308
202	583	1305
203	586	1302
204	589	1300
205	592	1297
206	595	1294
207	597	1290
208	600	1287
209	603	1285
210	606	1282
211	609	1279
212	612	1276
213	615	1274
214	618	1271
215	621	1268
216	624	1266
217	627	1263
218	630	1260
219	632	1257
220	635	1254
221	638	1251
222	641	1248
223	644	1246
224	647	1243
225	650	1240
226	653	1237
227	655	1234
228	659	1231
229	661	1228
230	665	1226
231	668	1224
232	670	1220
233	673	1218
234	676	1215
235	679	1212
236	682	1209
237	685	1207
238	688	1204
239	690	1200
240	693	1197
241	696	1193
242	699	1190
243	702	1188
244	704	1185
245	707	1182
246	710	1179
247	713	1176
248	716	1174
249	719	1171
250	722	1168
251	725	1165
252	728	1162
253	731	1160
254	733	1156
255	736	1153
256	739	1150
257	742	1148
258	745	1145
259	748	1142
260	750	1139
261	753	1136
262	756	1133
263	758	1129
264	761	1126
265	764	1123
266	766	1120
267	769	1117
268	772	1113
269	774	1110
270	777	1107
271	780	1104
272	783	1101
273	785	1098
274	788	1095
275	791	1092
276	794	1090
277	797	1086
278	799	1083
279	802	1080
280	805	1077
281	807	1074
282	810	1071
283	813	1068
284	816	1065
285	819	1062
286	822	1059
287	824	1056
288	827	1053
