iter	Accuracy	Logloss
0	0.7181478286	0.6571530756
1	0.7181478286	0.6322079579
2	0.7218866839	0.6009607303
3	0.7217428818	0.5857462754
4	0.7348288755	0.5658554536
5	0.7438884095	0.5505171928
6	0.7597066437	0.5298391534
7	0.7627264884	0.5186322898
8	0.7677595628	0.5107173077
9	0.7677595628	0.507961635
10	0.7712108139	0.4993692162
11	0.7830025884	0.4885687925
12	0.7837215991	0.4840696682
13	0.7824273799	0.483599911
14	0.7873166523	0.4772411642
15	0.7876042565	0.4753138622
16	0.7873166523	0.4753124016
17	0.7868852459	0.4729216983
18	0.78918608	0.4700380125
19	0.7888984757	0.4662044439
20	0.78918608	0.4658680211
21	0.7919183204	0.4626526724
22	0.7933563417	0.4601568745
23	0.7933563417	0.4580490137
24	0.7950819672	0.4557090121
25	0.7949381651	0.4557020443
26	0.7952257693	0.4555140428
27	0.7963761864	0.4546458677
28	0.7976704055	0.4528232463
29	0.7985332183	0.4512398507
30	0.7991084268	0.4506357824
31	0.8006902502	0.4497806638
32	0.7999712396	0.4479742301
33	0.7999712396	0.447974218
34	0.7999712396	0.447974218
35	0.8008340523	0.4460855105
36	0.8005464481	0.444270248
37	0.8011216566	0.4424358908
38	0.8016968651	0.4401009829
39	0.8006902502	0.4399836968
40	0.8019844694	0.4379751053
41	0.8024158758	0.4362747984
42	0.8019844694	0.4358419285
43	0.8022720736	0.43484338
44	0.8035662928	0.4340580383
45	0.803853897	0.4340515218
46	0.8048605119	0.4335590171
47	0.8044291056	0.4326776394
48	0.8044291056	0.4312712155
49	0.8055795226	0.429978405
50	0.8058671268	0.4291162154
51	0.8061547311	0.4284836634
52	0.8055795226	0.4275197853
53	0.8062985332	0.4263012619
54	0.8080241588	0.4244608389
55	0.8096059822	0.4234539874
56	0.8090307737	0.4220882568
57	0.8098935864	0.4208355627
58	0.8114754098	0.4193517156
59	0.8109002013	0.4177282612
60	0.8104687949	0.4168697847
61	0.8119068162	0.415839366
62	0.8117630141	0.4150245074
63	0.8119068162	0.413445203
64	0.8133448375	0.4119838687
65	0.8146390567	0.4104848898
66	0.8149266609	0.4093917446
67	0.8144952545	0.4087140688
68	0.8143514524	0.4082161286
69	0.8147828588	0.407436827
70	0.815070463	0.4073359397
71	0.8149266609	0.4072934072
72	0.815070463	0.4071489883
73	0.8146390567	0.4064295899
74	0.8146390567	0.4058239294
75	0.8142076503	0.4049192727
76	0.8142076503	0.4045862371
77	0.8149266609	0.4036468773
78	0.8149266609	0.4031681241
79	0.8156456716	0.4017643839
80	0.8159332758	0.4012980639
81	0.8166522865	0.4007436317
82	0.8170836928	0.4003810226
83	0.817227495	0.4000137417
84	0.8167960886	0.3997427255
85	0.8169398907	0.3997107731
86	0.8170836928	0.3996605522
87	0.8173712971	0.3986201355
88	0.8170836928	0.3974343551
89	0.8170836928	0.3973993239
90	0.8170836928	0.3973557798
91	0.818377912	0.3966804085
92	0.8185217141	0.3963942297
93	0.8185217141	0.396355702
94	0.8186655162	0.3956205862
95	0.8188093184	0.3954085402
96	0.8189531205	0.3950501968
97	0.8185217141	0.3947999805
98	0.8192407248	0.3941315263
99	0.8189531205	0.3937479433
100	0.8193845269	0.3935257984
101	0.8192407248	0.3934801826
102	0.8192407248	0.393451699
103	0.818377912	0.3928244113
104	0.8185217141	0.392196902
105	0.8189531205	0.3917513283
106	0.8192407248	0.3915693031
107	0.8196721311	0.390341315
108	0.8201035375	0.388919571
109	0.8202473397	0.3887156459
110	0.8205349439	0.3884324715
111	0.8205349439	0.3884088673
112	0.8205349439	0.3883803508
113	0.8205349439	0.3883502636
114	0.8208225482	0.3879924523
115	0.8219729652	0.3870422335
116	0.8216853609	0.3869647332
117	0.8215415588	0.3868581155
118	0.8216853609	0.3863457778
119	0.8221167673	0.3862979876
120	0.8219729652	0.3861541239
121	0.8222605695	0.3855487471
122	0.8225481737	0.3849319942
123	0.8222605695	0.3847076826
124	0.8222605695	0.3846798304
125	0.8238423929	0.38431408
126	0.8245614035	0.3837561905
127	0.8255680184	0.3825366266
