iter	Passed	Remaining
0	3	415
1	6	420
2	14	637
3	18	579
4	22	573
5	32	678
6	37	662
7	46	716
8	55	758
9	57	707
10	62	689
11	71	716
12	76	699
13	78	661
14	87	683
15	91	660
16	92	626
17	94	598
18	103	615
19	107	602
20	110	582
21	118	593
22	126	600
23	133	599
24	141	604
25	143	583
26	145	564
27	147	548
28	149	531
29	157	536
30	161	525
31	165	517
32	169	509
33	171	494
34	172	479
35	180	482
36	190	488
37	197	489
38	204	488
39	207	476
40	213	474
41	219	471
42	222	459
43	224	449
44	229	443
45	230	431
46	232	419
47	235	412
48	238	404
49	242	398
50	245	389
51	247	380
52	253	377
53	259	375
54	266	373
55	272	370
56	279	367
57	285	364
58	291	361
59	297	357
60	300	349
61	307	346
62	312	342
63	319	339
64	325	335
65	331	331
66	337	327
67	345	324
68	351	321
69	359	318
70	365	314
71	371	309
72	379	306
73	385	302
74	392	298
75	398	293
76	405	289
77	411	284
78	417	280
79	423	275
80	429	270
81	435	265
82	441	260
83	447	255
84	453	250
85	459	245
86	465	240
87	472	236
88	478	231
89	484	226
90	490	221
91	496	215
92	502	210
93	508	205
94	515	200
95	523	196
96	529	190
97	535	185
98	541	180
99	547	175
100	553	169
101	559	164
102	565	159
103	571	153
104	578	148
105	583	143
106	589	137
107	596	132
108	602	127
109	609	121
110	615	116
111	622	111
112	628	105
113	634	100
114	640	94
115	646	89
116	653	83
117	660	78
118	665	72
119	672	67
120	678	61
121	685	56
122	691	50
123	698	45
124	705	39
125	711	33
126	719	28
127	725	22
